"Path","Name","Scripts","Dependencies","DevDependencies","Framework"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\encodeurl\package.json","encodeurl","lint,test,test-cov,test-travis","","eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,istanbul,mocha",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\entities\lib\esm\package.json",,"","","",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\entities\package.json","entities","test,test:jest,lint,lint:es,lint:prettier,format,format:es,format:prettier,prettier,build,build:cjs,build:esm,build:docs,build:trie,build:encode-trie,prepare","","@types/jest,@types/node,@typescript-eslint/eslint-plugin,@typescript-eslint/parser,eslint,eslint-config-prettier,eslint-plugin-node,jest,prettier,ts-jest,typedoc,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\escape-html\package.json","escape-html","bench","","benchmark,beautify-benchmark",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\es-define-property\package.json","es-define-property","prepack,prepublish,prepublishOnly,prelint,lint,postlint,pretest,tests-only,test,posttest,version,postversion","","@ljharb/eslint-config,@ljharb/tsconfig,@types/gopd,@types/tape,auto-changelog,encoding,eslint,evalmd,gopd,in-publish,npmignore,nyc,safe-publish-latest,tape,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\es-errors\package.json","es-errors","prepack,prepublishOnly,prepublish,pretest,test,tests-only,posttest,prelint,lint,postlint,version,postversion","","@ljharb/eslint-config,@types/tape,aud,auto-changelog,eclint,eslint,evalmd,in-publish,npmignore,nyc,safe-publish-latest,tape,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\es-object-atoms\package.json","es-object-atoms","prepack,prepublishOnly,prepublish,pretest,test,tests-only,posttest,prelint,lint,postlint,version,postversion","es-errors","@ljharb/eslint-config,@ljharb/tsconfig,@types/tape,auto-changelog,eclint,encoding,eslint,evalmd,in-publish,npmignore,nyc,safe-publish-latest,tape,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\etag\package.json","etag","bench,lint,test,test-cov,test-travis","","beautify-benchmark,benchmark,eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-markdown,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,istanbul,mocha,safe-buffer,seedrandom",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\express\package.json","express","lint,test,test-ci,test-cov,test-tap","accepts,array-flatten,body-parser,content-disposition,content-type,cookie,cookie-signature,debug,depd,encodeurl,escape-html,etag,finalhandler,fresh,http-errors,merge-descriptors,methods,on-finished,parseurl,path-to-regexp,proxy-addr,qs,range-parser,safe-buffer,send,serve-static,setprototypeof,statuses,type-is,utils-merge,vary","after,connect-redis,cookie-parser,cookie-session,ejs,eslint,express-session,hbs,marked,method-override,mocha,morgan,nyc,pbkdf2-password,supertest,vhost",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\express-rate-limit\package.json","express-rate-limit","clean,build:cjs,build:esm,build:types,compile,docs,lint:code,lint:rest,lint,format:code,format:rest,format,test:lib,test:ext,test,pre-commit,prepare","","@express-rate-limit/prettier,@express-rate-limit/tsconfig,@jest/globals,@types/express,@types/jest,@types/node,@types/supertest,del-cli,dts-bundle-generator,esbuild,express,husky,jest,lint-staged,mintlify,npm-run-all,ratelimit-header-parser,supertest,ts-jest,ts-node,typescript,xo","express"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\fast-deep-equal\package.json","fast-deep-equal","eslint,test-spec,test-cov,test-ts,test","","benchmark,coveralls,deep-eql,deep-equal,eslint,lodash,mocha,nano-equal,nyc,pre-commit,ramda,shallow-equal-fuzzy,typescript,underscore",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\fill-range\package.json","fill-range","lint,mocha,test,test:ci,test:cover","to-regex-range","gulp-format-md,mocha,nyc",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\finalhandler\package.json","finalhandler","lint,test,test-ci,test-cov,test-inspect","debug,encodeurl,escape-html,on-finished,parseurl,statuses,unpipe","eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-markdown,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,mocha,nyc,readable-stream,safe-buffer,supertest",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\forwarded\package.json","forwarded","bench,lint,test,test-ci,test-cov,version","","beautify-benchmark,benchmark,deep-equal,eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,mocha,nyc",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\fresh\package.json","fresh","bench,lint,test,test-cov,test-travis","","beautify-benchmark,benchmark,eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-markdown,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,istanbul,mocha",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\function-bind\package.json","function-bind","prepublishOnly,prepublish,prepack,pretest,test,posttest,tests-only,lint,version,postversion","","@ljharb/eslint-config,aud,auto-changelog,eslint,in-publish,npmignore,nyc,safe-publish-latest,tape",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\get-intrinsic\package.json","get-intrinsic","prepack,prepublish,prepublishOnly,prelint,lint,pretest,tests-only,test,posttest,version,postversion","call-bind-apply-helpers,es-define-property,es-errors,es-object-atoms,function-bind,get-proto,gopd,has-symbols,hasown,math-intrinsics","@ljharb/eslint-config,auto-changelog,call-bound,encoding,es-abstract,es-value-fixtures,eslint,evalmd,for-each,make-async-function,make-async-generator-function,make-generator-function,mock-property,npmignore,nyc,object-inspect,safe-publish-latest,tape",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\get-proto\package.json","get-proto","prepack,prepublish,prepublishOnly,pretest,test,posttest,tests-only,prelint,lint,postlint,version,postversion","dunder-proto,es-object-atoms","@arethetypeswrong/cli,@ljharb/eslint-config,@ljharb/tsconfig,@types/tape,auto-changelog,eslint,evalmd,in-publish,npmignore,nyc,safe-publish-latest,tape,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\glob-parent\package.json","glob-parent","lint,pretest,test,azure-pipelines,coveralls","is-glob","coveralls,eslint,eslint-config-gulp,expect,mocha,nyc",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\gopd\package.json","gopd","prepack,prepublishOnly,prepublish,prelint,lint,postlint,pretest,tests-only,test,posttest,version,postversion","","@arethetypeswrong/cli,@ljharb/eslint-config,@ljharb/tsconfig,@types/tape,auto-changelog,encoding,eslint,evalmd,in-publish,npmignore,safe-publish-latest,tape,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\has-flag\package.json","has-flag","test","","ava,xo",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\hasown\package.json","hasown","prepack,prepublish,prepublishOnly,prelint,lint,postlint,pretest,tsc,posttsc,tests-only,test,posttest,version,postversion","function-bind","@arethetypeswrong/cli,@ljharb/eslint-config,@ljharb/tsconfig,@types/function-bind,@types/mock-property,@types/tape,aud,auto-changelog,eslint,evalmd,in-publish,mock-property,npmignore,nyc,safe-publish-latest,tape,typescript",""
