"Path","Name","Scripts","Dependencies"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\get-proto\package.json","get-proto","lint,postlint,posttest,postversion,prelint,prepack,prepublish,prepublishOnly,pretest,test,tests-only,version","dunder-proto,es-object-atoms"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\glob-parent\package.json","glob-parent","azure-pipelines,coveralls,lint,pretest,test","is-glob"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\gopd\package.json","gopd","lint,postlint,posttest,postversion,prelint,prepack,prepublish,prepublishOnly,pretest,test,tests-only,version",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\has-flag\package.json","has-flag","test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\has-symbols\package.json","has-symbols","lint,postlint,posttest,postversion,prepack,prepublish,prepublishOnly,pretest,test,test:shams,test:shams:corejs,test:shams:getownpropertysymbols,test:staging,test:stock,tests-only,version",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\hasown\package.json","hasown","lint,postlint,posttest,posttsc,postversion,prelint,prepack,prepublish,prepublishOnly,pretest,test,tests-only,tsc,version","function-bind"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\html-to-text\package.json","html-to-text","build,build:rollup,clean,copy:license,cover,test","@selderee/plugin-htmlparser2,deepmerge,dom-serializer,htmlparser2,selderee"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\htmlparser2\package.json","htmlparser2","build,build:cjs,build:esm,format,format:es,format:prettier,format:prettier:raw,lint,lint:es,lint:prettier,prepare,test,test:jest","domelementtype,domhandler,domutils,entities"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\htmlparser2\lib\esm\package.json",,"",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\http-errors\package.json","http-errors","lint,test,test-ci,test-cov,version","depd,inherits,setprototypeof,statuses,toidentifier"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\iconv-lite\package.json","iconv-lite","coverage,coverage-open,test","safer-buffer"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\ignore-by-default\package.json","ignore-by-default","test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\inherits\package.json","inherits","test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\ipaddr.js\package.json","ipaddr.js","test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\is-binary-path\package.json","is-binary-path","test","binary-extensions"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\is-extglob\package.json","is-extglob","test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\is-glob\package.json","is-glob","test","is-extglob"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\is-number\package.json","is-number","test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\kareem\package.json","kareem","docs,lint,test,test-coverage",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\leac\package.json","leac","build,build:deno,build:docs,build:rollup,build:types,checkAll,clean,example:calc,example:json,lint,lint:eslint,lint:md,prepublishOnly,test,ts",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\math-intrinsics\package.json","math-intrinsics","lint,postlint,posttest,postversion,prelint,prepack,prepublish,prepublishOnly,pretest,test,tests-only,version",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\media-typer\package.json","media-typer","test,test-cov,test-travis",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\memory-pager\package.json","memory-pager","test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\merge-descriptors\package.json","merge-descriptors","lint,test,test-cov",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\methods\package.json","methods","test,test-cov,test-travis",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\mime\package.json","mime","changelog,prepare,test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\mime-db\package.json","mime-db","build,fetch,lint,test,test-ci,test-cov,update,version",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\mime-types\package.json","mime-types","lint,test,test-ci,test-cov","mime-db"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\minimatch\package.json","minimatch","postpublish,postversion,preversion,test","brace-expansion"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\mongodb\package.json","mongodb","build:docs,build:dts,build:evergreen,build:nightly,build:ts,build:typedoc,check:adl,check:atlas,check:aws,check:bench,check:coverage,check:csfle,check:dependencies,check:drivers-atlas-testing,check:dts,check:eslint,check:integration-coverage,check:kerberos,check:lambda,check:lambda:aws,check:ldap,check:lint,check:oidc-auth,check:oidc-azure,check:oidc-gcp,check:oidc-k8s,check:oidc-test,check:resource-management,check:search-indexes,check:snappy,check:socks5,check:test,check:tls,check:ts,check:tsd,check:unit,check:x509,fix:eslint,prepare,preview:docs,test,test:all,update:docs","@mongodb-js/saslprep,bson,mongodb-connection-string-url"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\mongodb-connection-string-url\package.json","mongodb-connection-string-url","build,compile-ts,lint,prepack,test","@types/whatwg-url,whatwg-url"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\mongoose\package.json","mongoose","attest-benchmark,build-browser,create-separate-require-instance,docs:check-links,docs:clean,docs:clean:5x,docs:clean:6x,docs:clean:stable,docs:copy:tmp,docs:copy:tmp:5x,docs:copy:tmp:6x,docs:generate,docs:generate:sponsorData,docs:prepare:publish:5x,docs:prepare:publish:6x,docs:prepare:publish:7x,docs:prepare:publish:stable,docs:test,docs:view,lint,lint-js,lint-md,lint-ts,mongo,prepublishOnly,publish-7x,release,release-5x,release-6x,setup-test-encryption,tdd,test,test-coverage,test-deno,test-encryption,test-rs,test-tsd,ts-benchmark","bson,kareem,mongodb,mpath,mquery,ms,sift"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\mongoose\node_modules\ms\package.json","ms","lint,precommit,test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\mpath\package.json","mpath","lint,test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\mquery\package.json","mquery","fix-lint,lint,test","debug"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\mquery\node_modules\debug\package.json","debug","lint,test,test:browser,test:coverage,test:node","ms"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\mquery\node_modules\ms\package.json","ms","lint,precommit,test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\ms\package.json","ms","lint,precommit,test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\negotiator\package.json","negotiator","lint,test,test-ci,test-cov",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\nodemaster\package.json","nodemaster","test","express"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\nodemon\package.json","nodemon","clean,commitmsg,coverage,killall,lint,postspec,prepush,semantic-release,spec,test,web","chokidar,debug,ignore-by-default,minimatch,pstree.remy,semver,simple-update-notifier,supports-color,touch,undefsafe"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\nodemon\node_modules\debug\package.json","debug","lint,test,test:browser,test:coverage,test:node","ms"
