sheet,cell,formula_or_literal,resolved_value
Day 1 - Match 1,W12,"=IF($S$39=W$5,S12*W$5,"""")",
Day 1 - Match 1,X12,"=IF($S$39=X$5,S12*X$5,"""")",
Day 1 - Match 1,Y12,"=IF($S$39=Y$5,S12*Y$5,"""")",
Day 1 - Match 1,Z12,"=IF($S$39=Z$5,S12*Z$5,"""")",
Day 1 - Match 1,AA12,"=IF(SUM(V12:Z12)=0,0,Setup!F$45/SUM(V12:Z12))",0
Day 1 - Match 1,AD12,=A12,Kyle
Day 1 - Match 1,AE12,=B12,0
Day 1 - Match 1,AF12,=C12,0
Day 1 - Match 1,AG12,=D12,0
Day 1 - Match 1,AH12,=E12,0
Day 1 - Match 1,AI12,=F12,0
Day 1 - Match 1,AJ12,=G12,0
Day 1 - Match 1,AK12,=H12,0
Day 1 - Match 1,AL12,=I12,0
Day 1 - Match 1,AM12,=J12,0
Day 1 - Match 1,A13,=Matchups!C10,4
Day 1 - Match 1,M13,=A13,4
Day 1 - Match 1,N13,=K13,0
Day 1 - Match 1,V13,"=IF($S$39=V$5,S13*V$5,"""")",
Day 1 - Match 1,W13,"=IF($S$39=W$5,S13*W$5,"""")",
Day 1 - Match 1,X13,"=IF($S$39=X$5,S13*X$5,"""")",
Day 1 - Match 1,Y13,"=IF($S$39=Y$5,S13*Y$5,"""")",
Day 1 - Match 1,Z13,"=IF($S$39=Z$5,S13*Z$5,"""")",
Day 1 - Match 1,AA13,"=IF(SUM(V13:Z13)=0,0,Setup!F$45/SUM(V13:Z13))",0
Day 1 - Match 1,A14,=Matchups!C11,Manny
Day 1 - Match 1,K14,=SUM(B14:J14),0
Day 1 - Match 1,M14,=A14,Manny
Day 1 - Match 1,N14,=K14,0
Day 1 - Match 1,O14,=K70,2
Day 1 - Match 1,T14,='Skins - Day 1'!T14,0
Day 1 - Match 1,V14,"=IF($S$39=V$5,S14*V$5,"""")",
Day 1 - Match 1,W14,"=IF($S$39=W$5,S14*W$5,"""")",
Day 1 - Match 1,X14,"=IF($S$39=X$5,S14*X$5,"""")",
Day 1 - Match 1,Y14,"=IF($S$39=Y$5,S14*Y$5,"""")",
Day 1 - Match 1,Z14,"=IF($S$39=Z$5,S14*Z$5,"""")",
Day 1 - Match 1,AA14,"=IF(SUM(V14:Z14)=0,0,Setup!F$45/SUM(V14:Z14))",0
Day 1 - Match 1,AD14,=A14,Manny
Day 1 - Match 1,AE14,=B14,0
Day 1 - Match 1,AF14,=C14,0
Day 1 - Match 1,AG14,=D14,0
Day 1 - Match 1,AH14,=E14,0
Day 1 - Match 1,AI14,=F14,0
Day 1 - Match 1,AJ14,=G14,0
Day 1 - Match 1,AK14,=H14,0
Day 1 - Match 1,AL14,=I14,0
Day 1 - Match 1,AM14,=J14,0
Day 1 - Match 1,A15,=Matchups!C12,13
Day 1 - Match 1,M15,=A15,13
Day 1 - Match 1,N15,=K15,0
Day 1 - Match 1,V15,"=IF($S$39=V$5,S15*V$5,"""")",
